prefix_1,prefix_2,prefix_3,prefix_4,prefix_5,prefix_6,prefix_7,prefix_8,prefix_9,prefix_10
18,18,18,2,2,18,18,2,18,2
23,23,17,2,17,17,2,17,17,17
25,25,25,25,25,25,25,25,25,25
8,8,8,2,8,8,2,8,8,8
20,20,20,20,2,2,20,20,20,20
11,11,11,2,11,2,11,11,11,11
51,51,51,51,51,51,51,51,51,51
20,20,20,20,20,20,2,2,52,52
20,20,20,20,20,20,20,20,20,20
11,11,11,2,11,11,2,11,11,11
1,1,1,1,1,1,2,2,1,1
11,2,11,2,11,11,20,20,2,2
20,20,20,20,20,20,20,20,2,2
11,11,11,11,11,11,11,11,11,11
11,11,11,11,11,11,11,11,11,11
1,1,1,1,1,1,1,2,2,1
51,51,51,51,51,51,2,51,2,51
27,27,27,7,7,27,27,27,9,9
15,15,15,15,15,15,15,15,6,3
20,20,20,20,20,20,2,2,3,3
11,11,11,11,11,11,11,11,11,11
27,27,4,4,27,27,9,27,9,27
8,8,8,8,8,8,8,8,8,2
11,11,11,11,11,11,11,11,11,11
1,1,1,1,1,2,2,1,1,1
17,17,17,17,17,17,17,17,17,17
8,8,2,2,8,8,8,8,8,8
27,27,27,27,9,9,10,10,4,4
17,17,17,17,17,1,1,17,17,17
53,53,27,27,6,6,7,7,6,6
1,1,55,55,1,1,1,1,1,1
8,8,8,8,8,8,8,8,8,8
18,18,18,18,7,7,9,9,3,3
11,11,11,11,2,2,10,10,10,10
1,1,1,1,1,1,1,1,1,1
11,11,11,11,11,11,11,11,11,11
8,8,8,8,8,8,8,8,8,8
17,17,17,17,17,17,17,17,17,17
2,2,3,3,4,4,4,4,6,6
17,17,17,17,2,2,3,3,4,4
17,17,17,17,17,17,17,17,2,2
17,17,17,17,17,17,17,17,17,2
11,11,11,11,11,11,11,11,11,11
20,20,20,20,20,20,20,20,20,20
20,20,20,20,20,20,20,20,20,20
1,1,1,1,1,2,1,2,1,1
23,23,17,17,17,17,17,17,17,17
25,25,25,25,25,25,9,9,4,4
20,20,20,20,20,20,20,20,20,20
17,17,17,17,17,17,17,17,9,9
20,20,20,20,20,20,2,2,2,2
27,27,27,27,27,27,27,27,27,27
1,1,1,1,2,1,2,1,1,1
2,2,2,2,4,4,4,3,4,4
2,2,3,3,3,3,4,4,4,4
2,2,2,2,2,2,4,4,3,3
